,customer,project,total_hours,discount%,weekday,hour,num_projects,Frontend%,Backend%,UI/UX%,DevOps%,Maintenance%,Testing%,Consulting%,Security%,class,labels
6508,6508,6508,27.0,16.0,4,18,3,17.7,22.5,5.9,6.2,18.1,9.2,12.7,7.6,innovation_focused,6
6509,6509,6509,66.0,14.45,4,15,3,31.9,5.0,6.6,3.7,11.8,16.5,13.8,10.8,security_focused,7
6510,6510,6510,68.0,18.62,3,11,6,20.5,22.7,7.7,10.9,11.7,5.0,9.0,12.5,maintenance_specialists,4
6511,6511,6511,58.0,27.95,4,20,4,24.0,13.0,4.5,12.9,15.8,10.3,11.8,7.9,devops_specialists,8
6512,6512,6512,34.0,18.17,6,15,5,11.4,29.3,0.0,0.0,16.6,10.4,24.2,8.2,maintenance_specialists,4
6513,6513,6513,40.0,31.27,7,14,5,22.8,15.5,7.7,18.9,8.2,5.4,6.9,14.6,devops_specialists,8
6514,6514,6514,47.0,18.64,5,15,4,26.6,12.6,1.9,15.1,8.9,9.8,6.9,18.2,full_stack_enterprise,2
6515,6515,6515,34.0,8.86,6,9,5,16.8,18.0,11.6,10.2,13.7,4.1,18.9,6.6,maintenance_specialists,4
6516,6516,6516,70.0,33.31,5,18,3,24.3,18.4,4.1,13.8,19.2,0.0,6.2,14.0,full_service_partners,3
6517,6517,6517,47.0,14.0,4,11,3,13.8,32.3,3.3,4.8,12.9,10.0,18.5,4.4,technical_diversified,5
6519,6519,6519,50.0,33.59,1,14,6,17.0,15.7,3.4,10.5,12.3,10.8,18.3,12.1,maintenance_specialists,4
6520,6520,6520,40.0,9.14,6,16,1,22.9,23.9,0.0,12.3,10.1,9.3,9.1,12.3,backend_infrastructure,9
6521,6521,6521,44.0,8.82,6,20,2,20.9,17.5,9.5,15.3,7.4,7.5,15.8,6.0,technical_diversified,5
6522,6522,6522,39.0,10.59,5,20,6,16.7,21.6,2.6,14.2,17.3,18.7,6.9,2.0,full_service_partners,3
6523,6523,6523,57.0,16.32,4,21,4,18.5,19.0,9.8,9.2,10.9,7.6,14.3,10.7,maintenance_specialists,4
6524,6524,6524,62.0,22.45,7,13,1,13.0,36.8,19.8,10.2,11.5,0.0,0.0,8.7,frontend_specialists,0
6525,6525,6525,49.0,0.0,4,18,5,18.0,25.1,4.8,16.6,5.9,2.7,17.5,9.5,devops_specialists,8
6526,6526,6526,40.0,22.41,5,11,6,14.5,22.6,15.6,8.4,10.4,19.8,1.0,7.7,security_focused,7
6527,6527,6527,44.0,10.56,4,17,2,21.1,11.8,13.2,9.1,11.0,8.8,7.7,17.3,full_stack_enterprise,2
6528,6528,6528,45.0,11.7,1,11,5,3.5,36.8,6.5,0.0,18.8,19.1,8.4,6.9,backend_focused,1
6529,6529,6529,33.0,28.72,6,10,6,25.9,17.7,23.6,9.8,9.6,0.3,0.0,13.0,frontend_specialists,0
6530,6530,6530,54.0,16.71,2,13,4,24.4,16.3,0.0,8.4,17.8,27.8,0.0,5.3,security_focused,7
6531,6531,6531,52.0,18.58,6,19,2,12.6,22.6,15.2,9.0,21.6,5.1,0.0,13.9,full_service_partners,3
6532,6532,6532,68.0,14.61,5,10,7,15.6,23.8,12.0,0.9,15.6,18.6,6.6,6.9,security_focused,7
6533,6533,6533,64.0,21.11,5,12,6,18.4,30.3,5.1,1.5,7.5,10.1,8.8,18.4,full_stack_enterprise,2
6534,6534,6534,35.0,27.94,7,12,3,25.6,20.0,5.1,7.8,12.2,14.9,9.8,4.5,security_focused,7
6535,6535,6535,57.0,0.0,4,12,3,5.8,11.6,8.2,17.0,19.4,14.2,15.4,8.4,full_service_partners,3
6536,6536,6536,31.0,23.68,1,18,2,23.2,30.2,9.9,15.9,1.7,12.4,3.8,3.0,backend_infrastructure,9
6537,6537,6537,55.0,27.38,5,14,3,29.5,19.0,0.0,5.4,12.0,10.2,13.2,10.7,backend_infrastructure,9
6538,6538,6538,37.0,19.01,4,21,3,22.6,15.7,11.1,2.7,12.5,7.8,19.7,7.9,technical_diversified,5
6539,6539,6539,30.0,9.58,7,12,7,17.5,24.6,16.5,8.1,9.6,8.2,15.5,0.0,maintenance_specialists,4
6540,6540,6540,49.0,5.78,4,8,7,17.9,14.5,13.8,12.0,4.6,15.5,12.0,9.6,security_focused,7
6542,6542,6542,19.0,7.76,6,14,6,20.0,15.1,8.2,18.5,9.2,6.4,7.6,15.1,innovation_focused,6
6543,6543,6543,42.0,27.14,4,17,3,13.9,24.0,17.3,6.7,11.4,16.3,1.0,9.5,frontend_specialists,0
6544,6544,6544,46.0,18.12,3,10,4,20.2,23.7,12.4,6.3,2.3,18.9,9.0,7.2,security_focused,7
6545,6545,6545,39.0,31.37,3,13,2,19.4,10.2,17.0,15.4,9.0,10.1,3.0,16.0,devops_specialists,8
6546,6546,6546,21.0,12.45,7,21,2,22.0,24.8,3.1,16.0,8.8,4.6,14.8,6.0,innovation_focused,6
6547,6547,6547,33.0,2.14,1,12,1,22.1,15.1,6.9,0.0,18.2,5.5,19.1,13.2,technical_diversified,5
6548,6548,6548,51.0,15.02,2,8,5,17.9,24.2,0.0,3.8,5.5,13.1,11.4,24.1,full_stack_enterprise,2
6549,6549,6549,54.0,3.11,3,14,7,18.5,24.5,15.1,4.4,1.1,10.5,11.8,14.1,maintenance_specialists,4
6550,6550,6550,45.0,36.42,1,11,5,26.1,25.5,4.9,4.4,0.0,4.9,19.1,15.0,backend_infrastructure,9
6551,6551,6551,62.0,20.04,4,9,1,13.9,22.8,17.2,8.7,7.6,0.1,13.0,16.7,frontend_specialists,0
6552,6552,6552,51.0,21.23,4,21,5,15.1,21.2,15.3,19.7,2.4,10.7,14.8,0.8,devops_specialists,8
6553,6553,6553,34.0,21.23,2,21,3,25.5,3.7,18.4,5.4,16.0,7.8,11.8,11.3,frontend_specialists,0
6554,6554,6554,41.0,9.45,5,9,6,16.2,17.9,11.0,18.3,5.3,8.8,13.2,9.2,devops_specialists,8
6555,6555,6555,24.0,13.94,3,15,7,13.8,18.7,8.9,11.3,8.4,9.5,17.3,12.1,innovation_focused,6
6556,6556,6556,43.0,15.88,7,20,2,18.5,31.3,0.5,19.8,16.5,13.4,0.0,0.0,backend_focused,1
6557,6557,6557,62.0,30.55,3,10,1,25.3,12.5,15.0,10.5,1.8,6.3,11.5,17.1,full_stack_enterprise,2
6558,6558,6558,55.0,5.74,7,13,7,23.3,16.4,13.5,14.3,9.2,7.2,6.1,10.1,devops_specialists,8
6559,6559,6559,66.0,9.17,7,15,4,23.2,9.9,16.9,11.4,2.2,17.2,11.0,8.3,security_focused,7
6560,6560,6560,40.0,12.1,7,14,3,11.8,30.3,8.4,7.9,11.1,7.5,4.3,18.7,full_stack_enterprise,2
6561,6561,6561,65.0,9.61,4,10,4,24.5,14.5,9.0,15.5,6.6,10.6,13.1,6.3,devops_specialists,8
6562,6562,6562,42.0,3.33,1,16,3,12.7,21.9,15.1,9.4,9.6,11.3,9.3,10.6,backend_focused,1
6563,6563,6563,67.0,0.0,6,18,6,14.9,28.2,10.5,16.5,7.0,9.4,6.9,6.6,backend_focused,1
6564,6564,6564,45.0,0.39,2,20,1,15.5,17.6,14.0,3.6,12.4,23.2,8.3,5.3,security_focused,7
6565,6565,6565,56.0,23.79,2,9,2,11.9,15.4,20.1,1.0,13.9,8.8,10.5,18.3,frontend_specialists,0
6566,6566,6566,67.0,14.93,5,15,4,26.8,17.2,12.6,7.0,16.6,13.7,3.3,2.9,full_service_partners,3
6567,6567,6567,42.0,21.68,5,14,6,16.3,28.6,0.0,17.7,18.8,6.7,0.0,11.9,full_service_partners,3
6568,6568,6568,48.0,10.34,7,17,7,5.5,23.5,16.7,0.0,21.9,6.1,12.1,14.3,maintenance_specialists,4
6569,6569,6569,64.0,14.21,6,9,2,12.6,22.1,4.9,9.2,22.9,12.1,9.1,7.1,full_service_partners,3
6570,6570,6570,43.0,27.91,1,12,7,17.6,25.8,2.7,10.7,8.9,1.6,20.0,12.8,maintenance_specialists,4
6571,6571,6571,25.0,27.42,1,19,3,8.9,20.4,4.8,21.5,11.4,15.8,12.5,4.8,innovation_focused,6
6572,6572,6572,77.0,22.54,2,12,2,23.4,22.2,10.5,15.6,0.0,19.9,0.0,8.3,backend_focused,1
6573,6573,6573,38.0,16.62,4,17,7,13.8,23.4,7.6,8.1,0.0,16.9,21.0,9.2,maintenance_specialists,4
6574,6574,6574,47.0,19.14,1,9,2,34.6,13.6,5.4,16.8,2.0,11.9,1.9,13.8,devops_specialists,8
6575,6575,6575,62.0,17.97,7,15,7,22.6,27.0,2.8,12.5,7.9,11.5,5.4,10.3,backend_infrastructure,9
6576,6576,6576,36.0,13.66,6,18,6,25.6,19.1,8.2,13.7,15.4,7.0,0.0,11.0,full_service_partners,3
6577,6577,6577,30.0,11.77,7,9,7,9.7,22.0,10.1,10.3,7.1,22.3,17.1,1.5,maintenance_specialists,4
6578,6578,6578,49.0,23.98,1,14,2,10.7,23.4,21.8,2.6,11.4,17.7,12.3,0.0,frontend_specialists,0
6579,6579,6579,18.0,4.63,5,13,2,16.2,16.3,19.4,4.5,13.0,2.2,7.0,21.4,innovation_focused,6
6580,6580,6580,41.0,26.9,5,14,2,23.9,18.2,8.7,11.2,4.8,30.4,0.0,2.8,security_focused,7
6581,6581,6581,49.0,12.8,6,16,7,21.2,13.9,14.8,16.9,13.1,14.4,5.8,0.0,devops_specialists,8
6582,6582,6582,41.0,4.49,5,12,5,20.8,22.9,9.1,8.2,5.2,2.7,7.3,23.8,full_stack_enterprise,2
6583,6583,6583,22.0,10.64,4,14,2,14.2,20.1,20.5,8.0,9.5,13.9,7.5,6.3,innovation_focused,6
6584,6584,6584,69.0,8.0,2,18,4,24.4,17.4,9.5,3.4,14.4,8.4,18.8,3.6,technical_diversified,5
6585,6585,6585,47.0,10.39,4,18,7,22.6,15.3,14.6,18.6,6.6,14.7,7.6,0.0,devops_specialists,8
6586,6586,6586,66.0,10.25,5,21,5,20.8,11.4,11.0,15.3,16.0,12.3,11.3,1.9,devops_specialists,8
6587,6587,6587,41.0,9.93,3,11,6,29.1,24.3,5.4,0.0,18.3,14.1,6.4,2.4,backend_infrastructure,9
6588,6588,6588,32.0,12.54,3,11,4,23.0,19.1,19.9,0.0,11.0,7.5,6.6,12.8,frontend_specialists,0
6589,6589,6589,49.0,14.48,2,17,3,24.5,27.8,7.9,18.0,5.4,0.0,9.4,7.0,backend_infrastructure,9
6590,6590,6590,42.0,21.11,5,16,4,17.6,13.7,5.5,16.4,7.1,13.6,13.7,12.6,devops_specialists,8
6591,6591,6591,27.0,13.04,6,14,5,15.3,15.4,12.0,3.9,11.9,5.1,20.4,16.0,innovation_focused,6
6592,6592,6592,67.0,17.61,5,15,3,20.4,21.6,0.3,14.9,12.1,10.5,0.0,20.3,full_stack_enterprise,2
6593,6593,6593,36.0,15.06,4,16,6,10.3,30.8,11.0,5.7,6.3,11.0,14.7,10.2,maintenance_specialists,4
6595,6595,6595,65.0,15.37,4,14,2,27.1,20.2,0.0,9.8,2.9,10.4,25.2,4.4,technical_diversified,5
6596,6596,6596,37.0,9.83,7,12,7,20.8,18.8,7.2,1.3,9.1,4.3,20.9,17.7,maintenance_specialists,4
6597,6597,6597,36.0,7.65,6,11,4,14.5,21.1,9.2,19.8,15.9,4.1,5.4,10.0,devops_specialists,8
6598,6598,6598,19.0,16.68,5,18,2,29.6,24.7,11.5,4.3,6.6,4.7,8.1,10.3,innovation_focused,6
6599,6599,6599,71.0,25.19,6,11,2,22.7,30.0,0.9,9.7,15.2,1.7,12.0,7.8,backend_infrastructure,9
6600,6600,6600,26.0,13.17,7,19,2,25.6,16.7,0.3,14.5,15.2,13.4,0.0,14.3,innovation_focused,6
6601,6601,6601,46.0,9.39,1,14,2,13.5,32.1,21.7,11.0,3.6,0.0,7.4,10.8,frontend_specialists,0
6602,6602,6602,59.0,12.95,3,8,5,20.6,27.6,23.5,9.7,6.3,0.0,4.7,7.6,frontend_specialists,0
6603,6603,6603,51.0,10.51,5,18,6,21.5,21.8,2.7,5.8,16.9,11.3,10.3,9.7,full_service_partners,3
6604,6604,6604,44.0,9.66,1,8,4,29.0,31.7,5.6,0.1,15.5,5.2,5.4,7.5,backend_infrastructure,9
6605,6605,6605,19.0,3.45,3,15,5,15.8,15.4,4.6,18.0,11.8,12.7,8.5,13.3,innovation_focused,6
6606,6606,6606,33.0,13.04,1,13,6,17.9,19.3,3.0,6.5,14.9,18.4,9.6,10.3,security_focused,7
6607,6607,6607,48.0,16.89,2,8,5,21.2,30.8,10.0,2.7,15.1,0.0,9.2,10.9,backend_infrastructure,9
6608,6608,6608,33.0,6.34,1,18,7,13.6,26.0,5.3,10.7,2.9,18.2,7.4,15.9,backend_focused,1
6609,6609,6609,48.0,7.97,6,12,3,24.7,20.5,9.3,5.9,9.7,10.3,7.5,12.1,backend_infrastructure,9
6610,6610,6610,55.0,7.42,1,19,2,11.4,18.0,7.4,17.2,16.6,11.6,7.8,10.0,full_service_partners,3
6611,6611,6611,59.0,3.91,7,15,4,18.5,25.6,12.7,5.2,13.2,8.5,0.0,16.3,full_stack_enterprise,2
6612,6612,6612,27.0,7.36,2,8,4,18.2,23.9,16.9,11.0,0.0,8.5,13.4,8.0,innovation_focused,6
6613,6613,6613,78.0,13.42,1,20,4,5.1,19.5,13.9,14.7,5.9,9.4,16.9,14.6,maintenance_specialists,4
6614,6614,6614,57.0,4.26,3,17,7,29.2,26.5,7.6,4.2,5.1,8.5,7.9,11.1,backend_infrastructure,9
6615,6615,6615,45.0,13.9,1,15,4,23.9,17.0,12.1,7.9,13.0,9.2,7.7,9.2,full_service_partners,3
6616,6616,6616,61.0,9.37,6,10,7,10.2,20.3,25.8,4.4,6.7,4.0,16.6,12.1,maintenance_specialists,4
6617,6617,6617,80.0,7.57,6,17,2,25.7,7.4,0.0,9.0,5.4,25.6,11.7,15.3,security_focused,7
6618,6618,6618,23.0,18.02,1,21,7,26.9,23.1,8.6,1.5,13.2,9.0,6.4,11.4,innovation_focused,6
6619,6619,6619,42.0,9.88,2,21,3,19.6,12.7,7.6,7.6,7.4,13.3,9.6,22.1,full_stack_enterprise,2
6621,6621,6621,48.0,25.38,2,10,5,26.9,25.8,5.1,3.5,16.5,3.4,3.5,15.4,backend_infrastructure,9
6622,6622,6622,50.0,7.64,1,11,3,13.1,25.1,13.2,8.4,13.8,14.4,6.6,5.5,backend_focused,1
6623,6623,6623,44.0,27.53,2,15,3,15.3,14.5,15.1,9.9,10.3,7.8,14.5,12.6,technical_diversified,5
6624,6624,6624,35.0,12.22,6,20,6,15.9,30.8,0.0,20.8,1.5,5.1,13.5,12.4,devops_specialists,8
6626,6626,6626,51.0,10.57,1,15,3,19.2,24.6,7.0,6.1,0.0,8.4,18.9,15.9,technical_diversified,5
6627,6627,6627,67.0,15.55,1,9,7,31.7,25.3,15.2,0.0,8.2,2.0,0.0,17.6,backend_infrastructure,9
6628,6628,6628,36.0,25.04,6,20,6,11.1,18.3,1.7,16.9,12.8,9.1,20.7,9.4,maintenance_specialists,4
6629,6629,6629,52.0,21.39,6,9,1,25.3,15.6,8.6,13.6,13.1,7.2,4.7,11.8,devops_specialists,8
6630,6630,6630,21.0,15.51,6,18,4,8.5,19.8,12.4,6.6,17.9,9.1,13.0,12.6,innovation_focused,6
6631,6631,6631,52.0,25.08,7,12,6,20.3,24.9,15.0,2.4,11.3,0.0,5.6,20.5,full_stack_enterprise,2
6632,6632,6632,39.0,0.0,5,8,1,25.7,19.3,17.0,11.5,13.2,6.1,7.2,0.0,frontend_specialists,0
6633,6633,6633,34.0,17.0,1,15,2,14.4,15.2,16.4,22.4,9.3,4.2,11.2,6.7,devops_specialists,8
6634,6634,6634,34.0,17.48,1,16,4,23.2,23.7,7.9,5.1,0.0,7.0,23.3,9.8,technical_diversified,5
6635,6635,6635,39.0,17.58,5,11,3,29.4,15.9,10.9,16.7,7.0,5.8,1.1,13.2,devops_specialists,8
6636,6636,6636,51.0,2.12,3,15,3,21.2,35.5,1.0,17.2,0.1,7.2,12.1,5.7,backend_infrastructure,9
6637,6637,6637,25.0,6.86,5,21,4,25.1,12.5,7.0,5.4,18.3,7.7,13.8,10.2,innovation_focused,6
6638,6638,6638,39.0,13.67,2,9,2,10.8,29.9,20.1,1.1,18.9,10.1,8.0,1.2,frontend_specialists,0
6639,6639,6639,44.0,23.92,5,18,1,16.8,21.7,6.6,10.3,0.0,10.9,15.1,18.5,technical_diversified,5
6640,6640,6640,29.0,30.32,6,14,2,21.9,21.8,10.8,14.3,7.1,6.8,0.3,16.9,innovation_focused,6
6641,6641,6641,72.0,9.68,5,12,3,14.7,28.7,3.6,17.5,9.6,13.6,12.4,0.0,backend_focused,1
6642,6642,6642,32.0,4.52,7,21,2,18.1,15.6,2.5,0.0,2.5,23.8,20.5,17.0,technical_diversified,5
6643,6643,6643,35.0,21.53,3,21,6,20.6,27.8,17.3,19.4,3.9,0.0,1.6,9.4,devops_specialists,8
6644,6644,6644,30.0,35.91,4,17,2,21.9,21.9,9.6,15.5,14.6,7.7,5.9,2.9,innovation_focused,6
6645,6645,6645,72.0,23.86,7,21,3,22.5,7.7,12.8,12.4,12.8,13.5,0.0,18.2,full_stack_enterprise,2
6646,6646,6646,53.0,9.01,7,10,4,10.4,29.8,5.9,20.4,20.0,2.5,9.8,1.2,full_service_partners,3
6647,6647,6647,31.0,37.89,3,10,7,18.3,23.9,10.0,15.4,11.0,12.5,0.0,9.0,innovation_focused,6
6648,6648,6648,62.0,20.49,5,8,4,14.7,25.4,13.0,20.6,0.0,13.8,4.0,8.6,backend_focused,1
6649,6649,6649,48.0,8.67,2,8,1,18.9,19.4,2.7,4.8,7.9,10.1,14.1,22.2,full_stack_enterprise,2
6650,6650,6650,49.0,30.47,2,18,2,19.9,32.0,16.6,3.9,21.3,6.2,0.0,0.0,full_service_partners,3
6651,6651,6651,40.0,8.04,4,15,5,18.1,24.3,7.9,10.0,9.3,9.3,12.5,8.7,maintenance_specialists,4
6652,6652,6652,34.0,10.03,1,17,4,14.8,12.7,6.7,8.9,24.2,17.2,15.4,0.0,full_service_partners,3
6653,6653,6653,50.0,20.81,6,12,6,14.4,16.5,6.1,2.8,13.0,11.9,9.1,26.3,full_stack_enterprise,2
6654,6654,6654,37.0,14.8,6,15,6,28.0,16.7,8.2,12.3,6.8,15.0,3.8,9.1,security_focused,7
6655,6655,6655,72.0,15.3,6,11,6,18.8,28.1,6.2,11.3,15.8,6.5,2.6,10.8,full_service_partners,3
6656,6656,6656,26.0,15.31,5,14,7,19.8,30.6,12.3,2.9,11.2,8.1,2.8,12.3,innovation_focused,6
6657,6657,6657,68.0,23.92,1,17,5,17.3,13.0,17.2,15.0,9.0,7.4,12.1,8.9,devops_specialists,8
6658,6658,6658,43.0,0.0,2,18,2,12.4,16.6,15.5,28.4,2.1,11.6,1.7,11.6,devops_specialists,8
6659,6659,6659,49.0,17.28,1,12,2,24.3,18.3,8.9,9.7,6.5,10.4,9.6,12.1,technical_diversified,5
6660,6660,6660,57.0,12.68,3,11,7,19.0,24.6,9.4,0.0,12.0,13.2,0.0,21.9,full_stack_enterprise,2
6661,6661,6661,36.0,8.98,7,18,4,20.1,10.2,15.5,8.4,14.7,10.0,10.1,11.0,innovation_focused,6
6662,6662,6662,58.0,8.96,6,20,7,23.5,19.2,3.3,8.4,1.1,8.8,19.4,16.2,maintenance_specialists,4
6664,6664,6664,34.0,8.61,4,11,3,21.0,12.7,9.4,16.4,13.4,6.9,7.8,12.4,devops_specialists,8
6665,6665,6665,31.0,25.32,7,10,4,24.2,27.9,9.5,0.0,15.1,13.7,9.6,0.0,backend_infrastructure,9
6666,6666,6666,26.0,21.66,1,15,1,43.0,20.6,16.1,0.0,3.2,0.0,0.0,17.1,backend_infrastructure,9
6667,6667,6667,42.0,13.47,4,13,3,25.6,19.3,0.0,9.8,22.3,7.6,15.3,0.0,full_service_partners,3
6668,6668,6668,51.0,3.71,3,8,1,22.0,10.1,9.1,9.0,16.5,9.7,13.6,10.0,technical_diversified,5
6669,6669,6669,56.0,21.57,6,17,7,18.4,14.4,24.6,10.2,12.7,3.3,9.7,6.7,frontend_specialists,0
6670,6670,6670,49.0,25.48,3,13,7,30.8,20.1,11.4,7.8,0.0,6.4,11.4,12.1,backend_infrastructure,9
6671,6671,6671,35.0,23.27,4,15,6,19.0,22.5,10.0,7.2,13.0,15.2,0.0,13.1,security_focused,7
6672,6672,6672,51.0,7.25,3,21,2,21.6,18.4,2.3,11.9,7.8,7.4,15.1,15.6,technical_diversified,5
6673,6673,6673,47.0,8.08,7,11,5,26.1,28.5,3.7,8.2,16.9,9.8,6.6,0.2,backend_infrastructure,9
6674,6674,6674,59.0,28.25,1,9,4,32.8,26.1,4.9,13.1,14.1,0.1,8.9,0.0,backend_infrastructure,9
6675,6675,6675,57.0,5.33,5,11,5,27.5,26.1,2.7,14.4,2.2,7.9,13.2,6.0,backend_infrastructure,9
6676,6676,6676,45.0,18.83,5,16,2,20.8,26.7,14.5,12.1,6.9,0.0,0.3,18.7,full_stack_enterprise,2
6677,6677,6677,32.0,0.78,3,14,7,19.9,14.9,5.0,17.7,14.3,11.3,4.4,12.4,devops_specialists,8
6678,6678,6678,35.0,12.6,5,17,2,25.8,17.2,6.7,0.1,19.7,16.3,6.6,7.5,full_service_partners,3
6679,6679,6679,37.0,19.68,5,20,7,16.6,16.9,20.8,9.2,15.6,7.8,1.4,11.5,frontend_specialists,0
6680,6680,6680,40.0,14.76,5,14,3,13.4,24.7,5.8,11.4,14.4,4.4,10.2,15.7,full_service_partners,3
6681,6681,6681,49.0,19.19,6,21,7,17.3,25.1,19.5,3.6,7.0,18.5,4.1,4.9,frontend_specialists,0
6682,6682,6682,56.0,5.19,6,20,3,24.5,10.0,14.6,0.0,5.6,1.9,18.6,24.7,full_stack_enterprise,2
6683,6683,6683,44.0,8.44,7,9,6,22.5,13.9,15.2,15.0,13.4,6.5,3.9,9.5,devops_specialists,8
6684,6684,6684,45.0,18.85,3,10,1,29.4,1.1,18.6,21.7,8.5,0.0,2.7,18.0,devops_specialists,8
6685,6685,6685,47.0,20.58,5,14,1,16.2,18.4,15.2,2.2,14.4,1.7,13.7,18.2,full_stack_enterprise,2
6686,6686,6686,37.0,16.76,4,12,1,18.6,18.9,2.9,11.4,16.1,13.8,4.7,13.6,full_service_partners,3
6687,6687,6687,31.0,22.58,6,15,1,19.5,16.7,7.6,14.2,14.0,7.3,8.5,12.2,innovation_focused,6
6688,6688,6688,19.0,1.74,4,14,3,25.3,23.5,11.7,0.7,7.3,13.7,10.2,7.5,innovation_focused,6
6689,6689,6689,35.0,11.27,7,11,7,16.3,23.0,18.0,6.6,13.8,12.8,4.3,5.0,frontend_specialists,0
6690,6690,6690,52.0,29.58,7,18,1,28.0,20.2,12.0,0.0,0.0,17.1,2.8,19.9,full_stack_enterprise,2
6691,6691,6691,34.0,25.27,5,11,1,29.7,23.0,11.1,9.0,5.1,0.0,10.6,11.5,backend_infrastructure,9
6692,6692,6692,41.0,20.07,2,15,4,35.5,9.8,9.9,11.8,3.7,22.1,1.6,5.4,security_focused,7
6693,6693,6693,52.0,13.76,2,16,2,18.1,20.6,21.2,14.7,6.7,8.1,10.6,0.0,frontend_specialists,0
6694,6694,6694,53.0,23.28,4,15,3,25.2,17.2,12.3,10.2,2.5,6.6,14.5,11.5,technical_diversified,5
6695,6695,6695,29.0,18.43,4,21,3,11.7,25.4,8.9,7.2,8.8,5.5,15.7,16.8,innovation_focused,6
6696,6696,6696,60.0,2.86,7,12,4,25.0,15.9,5.1,4.6,15.0,9.4,10.3,14.7,full_service_partners,3
6697,6697,6697,62.0,22.97,5,8,4,18.1,24.2,15.7,16.9,15.5,0.0,9.7,0.0,frontend_specialists,0
6698,6698,6698,28.0,8.07,3,13,4,17.0,11.1,13.3,0.0,18.3,14.7,4.8,20.8,full_stack_enterprise,2
6699,6699,6699,33.0,21.08,4,10,2,16.8,24.9,6.8,10.0,6.8,18.0,10.3,6.4,backend_focused,1
6700,6700,6700,63.0,2.07,5,11,3,10.2,19.5,4.0,6.5,0.0,19.7,6.9,33.2,full_stack_enterprise,2
6701,6701,6701,43.0,27.79,4,20,4,8.0,26.8,2.7,16.1,7.5,14.8,9.9,14.3,backend_focused,1
6703,6703,6703,24.0,6.13,4,8,1,29.6,10.2,13.7,3.9,3.8,15.3,14.9,8.7,technical_diversified,5
6704,6704,6704,41.0,9.49,7,12,7,16.6,18.5,18.9,1.5,5.7,5.8,18.9,13.9,maintenance_specialists,4
6705,6705,6705,28.0,12.31,5,15,4,19.2,15.5,13.8,9.1,6.6,7.0,15.2,13.5,innovation_focused,6
6706,6706,6706,39.0,14.95,5,9,4,10.4,11.7,18.5,5.4,8.3,16.7,23.1,5.8,technical_diversified,5
6707,6707,6707,45.0,25.55,1,13,3,23.2,10.1,16.1,10.6,5.4,16.3,9.1,9.3,security_focused,7
6708,6708,6708,67.0,15.56,3,18,3,27.2,9.2,14.5,13.8,8.9,6.3,15.5,4.5,devops_specialists,8
6709,6709,6709,41.0,0.0,7,21,6,14.5,9.7,12.3,17.6,10.3,7.0,12.7,15.9,devops_specialists,8
6710,6710,6710,61.0,5.16,7,17,4,24.5,19.3,5.2,12.1,8.7,10.0,7.9,12.4,full_stack_enterprise,2
6711,6711,6711,66.0,37.06,6,15,5,19.1,11.3,17.5,16.4,20.4,0.0,0.0,15.2,devops_specialists,8
6712,6712,6712,67.0,16.08,1,15,2,16.8,20.7,12.5,2.2,12.5,11.5,17.4,6.4,technical_diversified,5
6713,6713,6713,49.0,22.61,1,21,2,25.5,22.0,7.5,8.7,16.6,8.5,0.0,11.2,full_service_partners,3
6715,6715,6715,52.0,6.96,1,18,7,15.3,12.6,4.5,6.1,15.0,18.7,11.9,15.9,security_focused,7
6716,6716,6716,61.0,11.15,6,16,2,21.7,34.4,12.0,0.0,7.2,4.3,8.9,11.4,backend_infrastructure,9
6717,6717,6717,44.0,16.03,1,14,2,14.0,27.6,11.1,13.0,6.0,23.3,1.0,3.9,backend_focused,1
6718,6718,6718,71.0,11.32,6,17,2,24.2,18.4,16.0,10.7,7.1,0.0,14.3,9.4,frontend_specialists,0
6719,6719,6719,58.0,30.35,4,19,4,9.3,36.7,5.1,16.4,7.4,2.6,12.5,10.1,backend_focused,1
6720,6720,6720,54.0,10.07,7,13,4,16.2,21.6,9.8,9.8,4.5,17.6,11.7,8.8,backend_focused,1
6721,6721,6721,61.0,6.56,7,13,5,24.4,15.0,15.0,4.1,13.3,4.8,12.5,10.8,frontend_specialists,0
6722,6722,6722,50.0,21.47,1,11,7,21.5,20.3,8.7,5.8,19.2,7.1,4.8,12.6,full_service_partners,3
6724,6724,6724,38.0,15.24,5,19,2,15.5,24.5,14.6,7.0,8.3,5.7,14.9,9.4,technical_diversified,5
6725,6725,6725,63.0,10.18,6,18,7,19.2,13.6,1.6,9.3,19.1,6.4,15.4,15.4,maintenance_specialists,4
6726,6726,6726,33.0,0.0,7,21,7,22.3,39.2,9.4,9.0,0.5,11.4,8.3,0.0,backend_infrastructure,9
6727,6727,6727,42.0,24.77,3,9,5,23.0,16.2,0.0,15.0,8.1,6.1,18.0,13.7,devops_specialists,8
6728,6728,6728,29.0,21.95,2,20,2,28.3,25.3,11.1,1.3,10.4,1.3,8.4,13.9,backend_infrastructure,9
6729,6729,6729,72.0,11.48,2,17,4,19.5,12.6,15.7,7.4,6.0,16.2,8.2,14.6,security_focused,7
6730,6730,6730,70.0,15.48,4,9,7,23.9,7.1,9.2,26.9,7.8,13.6,6.5,5.0,devops_specialists,8
6731,6731,6731,32.0,13.19,6,21,4,24.5,14.4,2.5,11.9,5.2,13.4,12.7,15.5,innovation_focused,6
